ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_NUMBER	ADMINISTRATIVE_BOUNDARY_TYPE	DISTRICT_OFFICIAL_NAME	AREA	PERIMETER	POPULATION
1119673	MACHAP	MAY	NULL	NULL	76	28	ALOR GAJAH	77.024100	44.561919	5317
1119674	KANDANG	MAY	NULL	NULL	75	28	MELAKA TENGAH	3.759900	11.274507	4522
1119675	BUKIT KATIL	MAY	NULL	NULL	75	28	MELAKA TENGAH	34.053700	36.784173	20999
1119676	ALAI	MAY	NULL	NULL	75	28	MELAKA TENGAH	6.871700	12.391442	6004
1119677	PADANG TEMU	MAY	NULL	NULL	75	28	MELAKA TENGAH	2.848600	7.414119	2844
1119678	KERU	MAY	NULL	NULL	73	28	TAMPIN	29.324400	23.176308	818
1119679	PADANG SEMABOK	MAY	NULL	NULL	75	28	MELAKA TENGAH	0.596000	3.225915	888
1119680	UJONG PASIR	MAY	NULL	NULL	75	28	MELAKA TENGAH	0.642500	3.358140	4091
1119681	SEMABOK	MAY	NULL	NULL	75	28	MELAKA TENGAH	4.059500	10.755291	5185
1119682	DUYONG	MAY	NULL	NULL	75	28	MELAKA TENGAH	5.707300	11.482939	13067
1119683	UMBAI	MAY	NULL	NULL	77	28	JASIN	12.323500	19.036767	7068
1119684	TAWANG	MAY	NULL	NULL	16	28	BACHOK	41.187200	33.047414	23015
1119685	MENTAKAB	MAY	NULL	NULL	28	28	TEMERLUH	96.639300	44.882572	42267
1119686	BUKIT ABAL	MAY	NULL	NULL	16	28	PASIR PUTEH	49.684600	44.367118	10603
1119687	BEKLAM	MAY	NULL	NULL	16	28	BACHOK	24.056300	22.598552	9014
1119688	MAHLIGAI	MAY	NULL	NULL	16	28	BACHOK	19.285800	21.329330	9101
1119689	BANGGU	MAY	NULL	NULL	16	28	BACHOK	30.852400	33.778815	17739
1119690	SERING	MAY	NULL	NULL	16	28	BACHOK	22.470900	32.852909	19098
